labels,sph_radius,sph_theta,sph_phi,theta,radius,X,Y,Z,type,ref,urchan
Fp1,1,18,0,-18,0.5,0.951056516295154,0.309016994374947,0,EEG,,
Fz,1,0,45,-0,0.25,0.707106781186548,0,0.707106781186547,EEG,,
F3,1,39,30,-39,0.333333333333333,0.673028145070219,0.545007445768716,0.5,EEG,,
F7,1,54,0,-54,0.5,0.587785252292473,0.809016994374947,0,EEG,,
FC5,1,69,21,-69,0.383333333333333,0.334565303179429,0.871572412738697,0.3583679495453,EEG,,
FC1,1,44,59,-44,0.172222222222222,0.370487385972602,0.357775509841357,0.857167300702112,EEG,,
C3,1,90,45,-90,0.25,4.32978028117747e-17,0.707106781186548,0.707106781186547,EEG,,
T7,1,90,0,-90,0.5,6.12323399573677e-17,1,0,EEG,,
TP9,1,108,-23,-108,0.627777777777778,-0.284451643121425,0.875452139157259,-0.390731128489274,EEG,,
CP5,1,111,21,-111,0.383333333333333,-0.334565303179429,0.871572412738697,0.3583679495453,EEG,,
CP1,1,136,59,-136,0.172222222222222,-0.370487385972602,0.357775509841357,0.857167300702112,EEG,,
Pz,1,-180,45,180,0.25,-0.707106781186548,-8.65956056235493e-17,0.707106781186547,EEG,,
P3,1,141,30,-141,0.333333333333333,-0.673028145070219,0.545007445768716,0.5,EEG,,
P7,1,126,0,-126,0.5,-0.587785252292473,0.809016994374947,0,EEG,,
PO9,1,144,-23,-144,0.627777777777778,-0.744704069847645,0.541059177522989,-0.390731128489274,EEG,,
O1,1,162,0,-162,0.5,-0.951056516295154,0.309016994374948,0,EEG,,
Oz,1,-180,0,180,0.5,-1,-1.22464679914735e-16,0,EEG,,
O2,1,-162,0,162,0.5,-0.951056516295154,-0.309016994374948,0,EEG,,
PO10,1,-144,-23,144,0.627777777777778,-0.744704069847645,-0.541059177522989,-0.390731128489274,EEG,,
P8,1,-126,0,126,0.5,-0.587785252292473,-0.809016994374947,0,EEG,,
P4,1,-141,30,141,0.333333333333333,-0.673028145070219,-0.545007445768716,0.5,EEG,,
CP2,1,-136,59,136,0.172222222222222,-0.370487385972602,-0.357775509841357,0.857167300702112,EEG,,
CP6,1,-111,21,111,0.383333333333333,-0.334565303179429,-0.871572412738697,0.3583679495453,EEG,,
TP10,1,-108,-23,108,0.627777777777778,-0.284451643121425,-0.875452139157259,-0.390731128489274,EEG,,
T8,1,-90,0,90,0.5,6.12323399573677e-17,-1,0,EEG,,
C4,1,-90,45,90,0.25,4.32978028117747e-17,-0.707106781186548,0.707106781186547,EEG,,
Cz,1,0,90,-0,0,6.12323399573677e-17,0,1,EEG,,
FC2,1,-44,59,44,0.172222222222222,0.370487385972602,-0.357775509841357,0.857167300702112,EEG,,
FC6,1,-69,21,69,0.383333333333333,0.334565303179429,-0.871572412738697,0.3583679495453,EEG,,
F8,1,-54,0,54,0.5,0.587785252292473,-0.809016994374947,0,EEG,,
F4,1,-39,30,39,0.333333333333333,0.673028145070219,-0.545007445768716,0.5,EEG,,
Fp2,1,-18,0,18,0.5,0.951056516295154,-0.309016994374947,0,EEG,,
AF7,1,36,0,-36,0.5,0.809016994374947,0.587785252292473,0,EEG,,
AF3,1,22,16,-22,0.411111111111111,0.891266324487498,0.360094969296656,0.275637355816999,EEG,,
F1,1,22,41,-22,0.272222222222222,0.699754537669432,0.282719184865606,0.656059028990507,EEG,,
F5,1,49,16,-49,0.411111111111111,0.630644414843062,0.725473411025839,0.275637355816999,EEG,,
FT9,1,72,-23,-72,0.627777777777778,0.284451643121425,0.875452139157259,-0.390731128489274,EEG,,
