Latency	Type	Duration
0.033333	10	2083.2
2365.5	12	1250
3248.3	22	882.86
3598.5	10	2780.7
6663.5	11	1250
7092.2	21	428.73
7413.7	10	2516.7
10213	12	1250
10868	22	655.61
11179	10	2832.8
14312	11	1250
14797	21	485.78
15111	10	2782.1
18193	11	1250
18617	21	423.97
18926	10	2707.5
21942	12	1250
22595	22	653.35
22909	10	2811.8
26007	11	1250
26476	21	468.97
26791	10	2115.2
29206	11	1250
29651	21	444.94
29956	10	2726.1
32989	12	1250
33585	22	596.66
33888	10	2806.5
37004	12	1250
37827	22	823.37
38137	10	2665.3
41102	11	1250
41489	21	386.83
41802	10	2883.5
44984	11	1250
45428	21	443.92
45734	10	2805.7
48850	12	1250
49406	22	556.78
49716	10	2649.9
52665	12	1250
53308	22	642.65
53615	10	2831.6
56747	11	1250
57155	21	408.13
57464	10	2384.7
60146	12	1250
60807	22	661.71
61129	10	2808
64228	11	1250
64622	21	394.53
64945	10	2745.4
67976	12	1250
68458	22	481.83
68777	10	2470.7
71542	12	1250
72265	22	723.31
72592	10	2398.2
75291	11	1250
75749	21	458.41
76057	10	2499.5
78856	11	1250
79330	21	474.44
79639	10	2159.5
82105	12	1250
82624	22	519.04
82938	10	2249.5
85487	11	1250
85994	21	507.24
86320	10	2363
88969	11	1250
89384	21	415.3
89703	10	2233.9
92235	12	1250
92819	22	584.56
93135	10	2714.5
96150	11	1250
96532	21	382.35
96850	10	2055.9
99216	12	1250
100110	22	892.22
100430	10	2361
103100	11	1250
103480	21	377.34
103800	10	2933.3
107030	12	1250
107760	22	727.84
108080	10	2369.3
110750	12	1250
111260	22	513.12
111580	10	2979.2
114880	11	1250
115370	21	490.89
115690	10	2353
118360	12	1250
118960	22	598.62
119280	10	2793.8
122390	11	1250
122790	21	402.57
123110	10	2235.4
125660	11	1250
126150	21	488.03
126470	10	2679.8
129460	12	1250
130390	22	937.67
130720	10	2286
133300	11	1250
133650	21	346.95
133970	10	2613.7
136900	12	1250
137610	22	705.84
137940	10	2822.4
141070	12	1250
141700	22	634.67
142040	10	2252.6
144580	11	1250
145090	21	507.33
145420	10	2353.5
148080	12	1250
148690	22	609.3
149020	10	2575
151900	12	1250
152580	22	686.17
152910	10	2141
155360	11	1250
155850	21	487.47
156180	10	2976.1
159460	12	1250
160070	22	610.12
160400	10	2456.2
163160	12	1250
163660	22	499.37
163990	10	2126.1
166430	11	1250
166930	21	504.91
167260	10	2479.1
170060	11	1250
170500	21	445.44
170820	10	2508.1
173660	12	1250
174310	22	648.94
174640	10	2109.2
177060	11	1250
177580	21	523.87
184220	10	2367.7
186900	12	1250
187980	22	1079
188320	10	2953.4
191580	11	1250
192290	21	701.27
192620	10	2146.1
195080	12	1250
195680	22	595.3
196020	10	2887.7
199220	11	1250
199660	21	441.56
199980	10	2546.3
202850	12	1250
203460	22	616.86
203800	10	2382.4
206500	11	1250
206860	21	368.03
207200	10	2623.9
210150	12	1250
210760	22	612.99
211090	10	2892.6
214290	11	1250
214710	21	417.86
215040	10	2204.7
217560	12	1250
218220	22	658.41
218560	10	2720
221590	11	1250
221990	21	398.98
222330	10	2745.8
225390	12	1250
225920	22	525.4
226260	10	2969.3
229560	11	1250
230020	21	464.96
230360	10	2147.5
232820	12	1250
233430	22	606.53
233770	10	2901.4
236990	11	1250
237490	21	506.3
237840	10	2517
240670	12	1250
241350	22	680.92
241680	10	2807.2
244820	12	1250
245480	22	658.6
245820	10	2891
249030	11	1250
249530	21	500.15
249870	10	2143.6
252330	11	1250
252860	21	531.65
253200	10	2255
255800	12	1250
256780	22	986.02
257130	10	2723
260180	11	1250
260620	21	437.9
260960	10	2438.9
263710	11	1250
264240	21	529.22
264580	10	2230.6
267130	12	1250
267760	22	637.66
268110	10	2392.7
270820	12	1250
271470	22	648.4
271820	10	2380.4
274520	11	1250
275000	21	476.77
275340	10	2711.2
278370	11	1250
278810	21	435.36
279140	10	2624.1
282120	12	1250
282830	22	713.42
283170	10	2278.3
285790	12	1250
286510	22	726.06
286850	10	2819.3
290000	11	1250
290460	21	459.64
290800	10	2593.2
293730	11	1250
294270	21	531.88
294620	10	2513.8
297470	12	1250
298090	22	625.67
298430	10	2299.1
301060	12	1250
301650	22	588.68
302000	10	2571.3
304900	11	1250
305430	21	531.1
305760	10	2803
308910	11	1250
309440	21	529.33
309790	10	2026.8
312140	12	1250
312700	22	553.05
313040	10	2733.7
316110	12	1250
316770	22	656.88
317110	10	2211.8
319660	11	1250
320170	21	511.17
320510	10	2920.2
323770	11	1250
324230	21	451.92
324570	10	2611.6
327520	12	1250
328200	22	682
328560	10	2725.5
331640	12	1250
332260	22	622
332600	10	2366.3
335300	11	1250
335780	21	475.21
336120	10	2322.6
338780	12	1250
339440	22	653.47
339780	10	2346
342470	11	1250
342890	21	422.99
343230	10	2546.7
346120	11	1250
346570	21	453.98
346920	10	2730.5
349980	12	1250
350720	22	736.16
351060	10	2763.5
354160	11	1250
354640	21	472.17
354980	10	2613.7
357930	12	1250
358800	22	876.08
359160	10	2035.6
361530	11	1250
361980	21	450.77
362330	10	2026.9
364690	12	1250
365250	22	558.34
371740	10	2602.9
374670	11	1250
375210	21	533.29
375560	10	2401.1
378310	12	1250
